Row,Site,Date,EggIDXSec,Meso_Type,Sub_Cat_8,Total_Depth,Mid_Velocity,Data_Type,Site_Code,SQRT_Velocity,Depth_Squared,Sub_Cont_8,Sub_Cat_6,Sub_Cont_6,velocity_plus_0005,Velocity_plus_005,SQRT_Vel005,Sub_Medians_Bldfix600,SubMedians_2,SubScoreBedadjusted,SubMedianBedadjusted,RandomSite,RandomDataType,RandomDepth,RandomSQRTVEL005,RandomDepthSqrd,RandomSubScoreBedADJ,Roughness_Sqyared,RandomSubBed_6,RandomSubBed6SQRD
170,NFMF AMERICAN,39967,3,RUN,3,0.28,0.13,AVAILABLE,4,0.360555128,0.0784,31,3,32,0.1305,0.135,0.367423461,32,1024,3,32,,,,,,,,,
170,MF FEATHER,39980,7,POOL,4,0.76,0.04,AVAILABLE,2,0.2,0.5776,96,4,160,0.0405,0.045,0.212132034,160,25600,5,160,,,,,,,,,
170,MF YUBA,39966,4,RUN,5,0.51,0.61,AVAILABLE,3,0.781024968,0.2601,192,4,160,0.6105,0.615,0.784219357,160,25600,5,160,,,,,,,,,
170,NFMF AMERICAN,39967,3,RUN,6,0.18,0.01,AVAILABLE,4,0.1,0.0324,334,5,428,0.0105,0.015,0.122474487,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,2,POOL,5,0.41,0.48,AVAILABLE,7,0.692820323,0.1681,192,4,160,0.4805,0.485,0.696419414,160,25600,5,160,,,,,,,,,
170,MF YUBA,39966,5,POOL,5,0.56,0.02,AVAILABLE,3,0.141421356,0.3136,192,4,160,0.0205,0.025,0.158113883,160,25600,5,160,,,,,,,,,
170,MF FEATHER,39980,13,POOL,8,0.64,0.22,AVAILABLE,2,0.469041576,0.4096,600,6,800,0.2205,0.225,0.474341649,600,360000,4,294,,,,,,,,,
170,MF FEATHER,39980,9,RAPID,7,0.3,0.04,AVAILABLE,2,0.2,0.09,512,5,428,0.0405,0.045,0.212132034,428,183184,6,428,,,,,,,,,
170,NF AMERICAN,39974,13,RUN,6,0.5,0.97,AVAILABLE,5,0.98488578,0.25,334,5,428,0.9705,0.975,0.987420883,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,8,RAPID,6,0.05,0.25,AVAILABLE,3,0.5,0.0025,334,5,428,0.2505,0.255,0.504975247,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,2,POOL,8,0.94,0.5,AVAILABLE,7,0.707106781,0.8836,600,6,800,0.5005,0.505,0.71063352,600,360000,4,294,,,,,,,,,
170,NF AMERICAN,39974,4,RIFFLE,8,0.6,0.53,AVAILABLE,5,0.728010989,0.36,600,6,800,0.5305,0.535,0.731436942,600,360000,4,294,,,,,,,,,
170,NF AMERICAN,39974,1,RAPID,7,0.4,0.04,AVAILABLE,5,0.2,0.16,512,5,428,0.0405,0.045,0.212132034,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,4,RUN,5,0.75,0.53,AVAILABLE,3,0.728010989,0.5625,192,4,160,0.5305,0.535,0.731436942,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,9,POOL,4,0.2,0.07,AVAILABLE,5,0.264575131,0.04,96,4,160,0.0705,0.075,0.273861279,160,25600,5,160,,,,,,,,,
170,MF YUBA,39966,10,POOL,5,0.12,0.19,AVAILABLE,3,0.435889894,0.0144,192,4,160,0.1905,0.195,0.441588043,160,25600,5,160,,,,,,,,,
170,RUBICON,39962,1,RIFFLE,5,0.21,0.42,AVAILABLE,7,0.64807407,0.0441,192,4,160,0.4205,0.425,0.651920241,160,25600,5,160,,,,,,,,,
170,NFMF AMERICAN,39967,9,RUN,7,0.54,0.02,AVAILABLE,4,0.141421356,0.2916,512,5,428,0.0205,0.025,0.158113883,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,11,POOL,8,1.03,0.35,AVAILABLE,3,0.591607978,1.0609,600,6,800,0.3505,0.355,0.595818764,600,360000,4,294,,,,,,,,,
170,NF AMERICAN,39974,2,RAPID,8,0.98,0.26,AVAILABLE,5,0.509901951,0.9604,600,6,800,0.2605,0.265,0.514781507,600,360000,4,294,,,,,,,,,
170,MF FEATHER,39980,9,RAPID,7,0.54,0.01,AVAILABLE,2,0.1,0.2916,512,5,428,0.0105,0.015,0.122474487,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,4,RUN,7,0.25,0.01,AVAILABLE,3,0.1,0.0625,512,5,428,0.0105,0.015,0.122474487,428,183184,6,428,,,,,,,,,
170,NFMF AMERICAN,39967,8,RIFFLE,3,0.4,0.11,AVAILABLE,4,0.331662479,0.16,31,3,32,0.1105,0.115,0.339116499,32,1024,3,32,,,,,,,,,
170,NF AMERICAN,39974,8,POOL,4,0.2,0.01,AVAILABLE,5,0.1,0.04,96,4,160,0.0105,0.015,0.122474487,160,25600,5,160,,,,,,,,,
170,MF YUBA,39966,1,CA3ADE,6,0.34,1.04,AVAILABLE,3,1.019803903,0.1156,334,5,428,1.0405,1.045,1.022252415,428,183184,6,428,,,,,,,,,
170,MF FEATHER,39980,10,RUN,3,0.75,0.07,AVAILABLE,2,0.264575131,0.5625,31,3,32,0.0705,0.075,0.273861279,32,1024,3,32,,,,,,,,,
170,RUBICON,39962,11,RUN,4,0.29,0.27,AVAILABLE,7,0.519615242,0.0841,96,4,160,0.2705,0.275,0.524404424,160,25600,5,160,,,,,,,,,
170,RUBICON,39962,6,POOL,5,0.8,0.19,AVAILABLE,7,0.435889894,0.64,192,4,160,0.1905,0.195,0.441588043,160,25600,5,160,,,,,,,,,
170,MF YUBA,39966,7,POOL,6,0.9,0.7,AVAILABLE,3,0.836660027,0.81,334,5,428,0.7005,0.705,0.839642781,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,4,RUN,7,0.34,0.01,AVAILABLE,3,0.1,0.1156,512,5,428,0.0105,0.015,0.122474487,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,8,POOL,2,0.89,0.02,AVAILABLE,7,0.141421356,0.7921,2,2,1.025,0.0205,0.025,0.158113883,1.025,1.050625,2,1.025,,,,,,,,,
170,RUBICON,39962,9,RIFFLE,7,0.5,0.08,AVAILABLE,7,0.282842712,0.25,512,5,428,0.0805,0.085,0.291547595,428,183184,6,428,,,,,,,,,
170,NFMF AMERICAN,39967,5,RUN,3,0.4,0.28,AVAILABLE,4,0.529150262,0.16,31,3,32,0.2805,0.285,0.533853913,32,1024,3,32,,,,,,,,,
170,MF YUBA,39966,10,POOL,4,0.12,0.71,AVAILABLE,3,0.842614977,0.0144,96,4,160,0.7105,0.715,0.845576726,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,2,RAPID,8,0.68,0.84,AVAILABLE,5,0.916515139,0.4624,600,6,800,0.8405,0.845,0.919238816,600,360000,4,294,,,,,,,,,
170,NFMF AMERICAN,39967,5,RUN,7,0.5,0.11,AVAILABLE,4,0.331662479,0.25,512,5,428,0.1105,0.115,0.339116499,428,183184,6,428,,,,,,,,,
170,NFMF AMERICAN,39967,5,RUN,7,0.18,0.08,AVAILABLE,4,0.282842712,0.0324,512,5,428,0.0805,0.085,0.291547595,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,5,POOL,7,0.6,0.21,AVAILABLE,3,0.458257569,0.36,512,5,428,0.2105,0.215,0.463680925,428,183184,6,428,,,,,,,,,
170,MF FEATHER,39980,4,RIFFLE,5,0.25,0.3,AVAILABLE,2,0.547722558,0.0625,192,4,160,0.3005,0.305,0.552268051,160,25600,5,160,,,,,,,,,
170,RUBICON,39962,6,POOL,5,0.84,0.23,AVAILABLE,7,0.479583152,0.7056,192,4,160,0.2305,0.235,0.484767986,160,25600,5,160,,,,,,,,,
170,NFMF AMERICAN,39967,8,RIFFLE,7,0.28,1.19,AVAILABLE,4,1.090871211,0.0784,512,5,428,1.1905,1.195,1.093160555,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,1,RIFFLE,5,0.36,1.73,AVAILABLE,7,1.315294644,0.1296,192,4,160,1.7305,1.735,1.317193987,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,4,RIFFLE,8,0.18,1.16,AVAILABLE,5,1.077032961,0.0324,600,6,800,1.1605,1.165,1.079351657,600,360000,4,294,,,,,,,,,
170,MF YUBA,39966,8,RAPID,7,0.52,1.2,AVAILABLE,3,1.095445115,0.2704,512,5,428,1.2005,1.205,1.09772492,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,4,RIFFLE,5,0.46,0.55,AVAILABLE,7,0.741619849,0.2116,192,4,160,0.5505,0.555,0.744983221,160,25600,5,160,,,,,,,,,
170,MF FEATHER,39980,2,RUN,6,0.32,0.66,AVAILABLE,2,0.81240384,0.1024,334,5,428,0.6605,0.665,0.815475322,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,6,POOL,4,0.16,0.01,AVAILABLE,7,0.1,0.0256,96,4,160,0.0105,0.015,0.122474487,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,4,RIFFLE,8,0.43,1.03,AVAILABLE,5,1.014889157,0.1849,600,6,800,1.0305,1.035,1.017349497,600,360000,4,294,,,,,,,,,
170,NF AMERICAN,39974,13,RUN,4,0.13,0.01,AVAILABLE,5,0.1,0.0169,96,4,160,0.0105,0.015,0.122474487,160,25600,5,160,,,,,,,,,
170,NF FEATHER,39966,7,RUN,2,0.26,0.01,AVAILABLE,6,0.1,0.0676,2,2,1.025,0.0105,0.015,0.122474487,1.025,1.050625,2,1.025,,,,,,,,,
170,NFMF AMERICAN,39967,11,RUN,3,0.15,0.63,AVAILABLE,4,0.793725393,0.0225,31,3,32,0.6305,0.635,0.796868873,32,1024,3,32,,,,,,,,,
170,NF AMERICAN,39974,6,RIFFLE,4,0.68,0.51,AVAILABLE,5,0.714142843,0.4624,96,4,160,0.5105,0.515,0.717635005,160,25600,5,160,,,,,,,,,
170,MF FEATHER,39980,7,POOL,8,1.06,0.28,AVAILABLE,2,0.529150262,1.1236,600,6,800,0.2805,0.285,0.533853913,600,360000,4,294,,,,,,,,,
170,NF AMERICAN,39974,13,RUN,4,0.74,0.74,AVAILABLE,5,0.860232527,0.5476,96,4,160,0.7405,0.745,0.863133825,160,25600,5,160,,,,,,,,,
170,NFMF AMERICAN,39967,1,POOL,8,0.28,0.06,AVAILABLE,4,0.244948974,0.0784,600,6,800,0.0605,0.065,0.254950976,600,360000,4,294,,,,,,,,,
170,MF YUBA,39966,9,RAPID,4,0.56,0.34,AVAILABLE,3,0.583095189,0.3136,96,4,160,0.3405,0.345,0.587367006,160,25600,5,160,,,,,,,,,
170,MF FEATHER,39980,3,RIFFLE,6,0.3,0.01,AVAILABLE,2,0.1,0.09,334,5,428,0.0105,0.015,0.122474487,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,9,RIFFLE,7,0.12,0.06,AVAILABLE,7,0.244948974,0.0144,512,5,428,0.0605,0.065,0.254950976,428,183184,6,428,,,,,,,,,
170,NFMF AMERICAN,39967,4,RIFFLE,6,0.2,0,AVAILABLE,4,0,0.04,334,5,428,0.0005,0.005,0.070710678,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,4,RIFFLE,7,0.76,0.53,AVAILABLE,7,0.728010989,0.5776,512,5,428,0.5305,0.535,0.731436942,428,183184,6,428,,,,,,,,,
170,MF FEATHER,39980,1,RUN,5,0.61,0.08,AVAILABLE,2,0.282842712,0.3721,192,4,160,0.0805,0.085,0.291547595,160,25600,5,160,,,,,,,,,
170,MF FEATHER,39980,5,RUN,8,0.54,0.03,AVAILABLE,2,0.173205081,0.2916,600,6,800,0.0305,0.035,0.187082869,600,360000,4,294,,,,,,,,,
170,MF YUBA,39966,2,CA3ADE,4,0.44,0.22,AVAILABLE,3,0.469041576,0.1936,96,4,160,0.2205,0.225,0.474341649,160,25600,5,160,,,,,,,,,
170,RUBICON,39962,9,RIFFLE,7,0.62,0.63,AVAILABLE,7,0.793725393,0.3844,512,5,428,0.6305,0.635,0.796868873,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,2,CA3ADE,4,0.29,0.12,AVAILABLE,3,0.346410162,0.0841,96,4,160,0.1205,0.125,0.353553391,160,25600,5,160,,,,,,,,,
170,MF YUBA,39966,11,POOL,8,0.19,0.01,AVAILABLE,3,0.1,0.0361,600,6,800,0.0105,0.015,0.122474487,600,360000,4,294,,,,,,,,,
170,NF AMERICAN,39974,13,RUN,5,0.84,1.3,AVAILABLE,5,1.140175425,0.7056,192,4,160,1.3005,1.305,1.142365966,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,7,RUN,8,0.83,0.64,AVAILABLE,5,0.8,0.6889,600,6,800,0.6405,0.645,0.80311892,600,360000,4,294,,,,,,,,,
170,RUBICON,39962,2,POOL,5,0.36,0.31,AVAILABLE,7,0.556776436,0.1296,192,4,160,0.3105,0.315,0.561248608,160,25600,5,160,,,,,,,,,
170,MF YUBA,39966,3,RUN,6,0.58,0.53,AVAILABLE,3,0.728010989,0.3364,334,5,428,0.5305,0.535,0.731436942,428,183184,6,428,,,,,,,,,
170,MF FEATHER,39980,12,POOL,3,0.49,0.1,AVAILABLE,2,0.316227766,0.2401,31,3,32,0.1005,0.105,0.324037035,32,1024,3,32,,,,,,,,,
170,MF FEATHER,39980,9,RAPID,7,0.84,0.46,AVAILABLE,2,0.678232998,0.7056,512,5,428,0.4605,0.465,0.681909085,428,183184,6,428,,,,,,,,,
170,MF FEATHER,39980,2,RUN,6,0.66,0.02,AVAILABLE,2,0.141421356,0.4356,334,5,428,0.0205,0.025,0.158113883,428,183184,6,428,,,,,,,,,
170,NF FEATHER,39966,13,RUN,4,0.44,0.1,AVAILABLE,6,0.316227766,0.1936,96,4,160,0.1005,0.105,0.324037035,160,25600,5,160,,,,,,,,,
170,MF FEATHER,39980,9,RAPID,5,0.2,0.14,AVAILABLE,2,0.374165739,0.04,192,4,160,0.1405,0.145,0.380788655,160,25600,5,160,,,,,,,,,
170,RUBICON,39962,2,POOL,5,0.33,0.53,AVAILABLE,7,0.728010989,0.1089,192,4,160,0.5305,0.535,0.731436942,160,25600,5,160,,,,,,,,,
170,NFMF AMERICAN,39967,8,RIFFLE,7,0.68,0.62,AVAILABLE,4,0.787400787,0.4624,512,5,428,0.6205,0.625,0.790569415,428,183184,6,428,,,,,,,,,
170,NF AMERICAN,39974,2,RAPID,5,0.48,0.62,AVAILABLE,5,0.787400787,0.2304,192,4,160,0.6205,0.625,0.790569415,160,25600,5,160,,,,,,,,,
170,NFMF AMERICAN,39967,10,RUN,6,0.52,0.29,AVAILABLE,4,0.538516481,0.2704,334,5,428,0.2905,0.295,0.543139025,428,183184,6,428,,,,,,,,,
170,NF AMERICAN,39974,5,RIFFLE,6,0.52,1.02,AVAILABLE,5,1.009950494,0.2704,334,5,428,1.0205,1.025,1.012422837,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,10,RUN,7,0.3,1.18,AVAILABLE,7,1.086278049,0.09,512,5,428,1.1805,1.185,1.088577053,428,183184,6,428,,,,,,,,,
170,NF AMERICAN,39974,1,RAPID,8,0.58,0.02,AVAILABLE,5,0.141421356,0.3364,600,6,800,0.0205,0.025,0.158113883,600,360000,4,294,,,,,,,,,
170,MF FEATHER,39980,11,RUN,2,0.3,0.02,AVAILABLE,2,0.141421356,0.09,2,2,1.025,0.0205,0.025,0.158113883,1.025,1.050625,2,1.025,,,,,,,,,
170,MF YUBA,39966,8,RAPID,7,0.8,0.12,AVAILABLE,3,0.346410162,0.64,512,5,428,0.1205,0.125,0.353553391,428,183184,6,428,,,,,,,,,
170,NF AMERICAN,39974,8,POOL,5,0.58,0.03,AVAILABLE,5,0.173205081,0.3364,192,4,160,0.0305,0.035,0.187082869,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,11,POOL,5,0.39,0.14,AVAILABLE,5,0.374165739,0.1521,192,4,160,0.1405,0.145,0.380788655,160,25600,5,160,,,,,,,,,
170,RUBICON,39962,6,POOL,6,0.3,0,AVAILABLE,7,0,0.09,334,5,428,0.0005,0.005,0.070710678,428,183184,6,428,,,,,,,,,
170,MF FEATHER,39980,1,RUN,2,0.69,0.26,AVAILABLE,2,0.509901951,0.4761,2,2,1.025,0.2605,0.265,0.514781507,1.025,1.050625,2,1.025,,,,,,,,,
170,RUBICON,39962,8,POOL,2,0.48,0.01,AVAILABLE,7,0.1,0.2304,2,2,1.025,0.0105,0.015,0.122474487,1.025,1.050625,2,1.025,,,,,,,,,
170,MF FEATHER,39980,10,RUN,8,0.91,0.01,AVAILABLE,2,0.1,0.8281,600,6,800,0.0105,0.015,0.122474487,600,360000,4,294,,,,,,,,,
170,NF FEATHER,39966,5,RUN,5,0.8,0.33,AVAILABLE,6,0.574456265,0.64,192,4,160,0.3305,0.335,0.578791845,160,25600,5,160,,,,,,,,,
170,MF YUBA,39966,11,POOL,4,0.7,0.15,AVAILABLE,3,0.387298335,0.49,96,4,160,0.1505,0.155,0.393700394,160,25600,5,160,,,,,,,,,
170,MF FEATHER,39980,5,RUN,7,0.09,0.09,AVAILABLE,2,0.3,0.0081,512,5,428,0.0905,0.095,0.3082207,428,183184,6,428,,,,,,,,,
170,NFMF AMERICAN,39967,10,RUN,4,0.58,0.66,AVAILABLE,4,0.81240384,0.3364,96,4,160,0.6605,0.665,0.815475322,160,25600,5,160,,,,,,,,,
170,MF YUBA,39966,3,RUN,4,0.38,0.4,AVAILABLE,3,0.632455532,0.1444,96,4,160,0.4005,0.405,0.636396103,160,25600,5,160,,,,,,,,,
170,MF FEATHER,39980,13,POOL,8,1.05,0.08,AVAILABLE,2,0.282842712,1.1025,600,6,800,0.0805,0.085,0.291547595,600,360000,4,294,,,,,,,,,
170,NFMF AMERICAN,39967,1,POOL,8,0.84,0.52,AVAILABLE,4,0.721110255,0.7056,600,6,800,0.5205,0.525,0.724568837,600,360000,4,294,,,,,,,,,
170,NF AMERICAN,39974,13,RUN,4,0.7,0.7,AVAILABLE,5,0.836660027,0.49,96,4,160,0.7005,0.705,0.839642781,160,25600,5,160,,,,,,,,,
170,RUBICON,39962,11,RUN,5,0.27,0.01,AVAILABLE,7,0.1,0.0729,192,4,160,0.0105,0.015,0.122474487,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,4,RIFFLE,5,0.5,1.12,AVAILABLE,5,1.058300524,0.25,192,4,160,1.1205,1.125,1.060660172,160,25600,5,160,,,,,,,,,
170,MF YUBA,39966,10,POOL,2,0.47,0,AVAILABLE,3,0,0.2209,2,2,1.025,0.0005,0.005,0.070710678,1.025,1.050625,2,1.025,,,,,,,,,
170,MF YUBA,39966,9,RAPID,2,0.04,0,AVAILABLE,3,0,0.0016,2,2,1.025,0.0005,0.005,0.070710678,1.025,1.050625,2,1.025,,,,,,,,,
170,RUBICON,39962,6,POOL,5,0.92,0.2,AVAILABLE,7,0.447213595,0.8464,192,4,160,0.2005,0.205,0.452769257,160,25600,5,160,,,,,,,,,
170,RUBICON,39962,5,RIFFLE,4,0.06,0.03,AVAILABLE,7,0.173205081,0.0036,96,4,160,0.0305,0.035,0.187082869,160,25600,5,160,,,,,,,,,
170,NFMF AMERICAN,39967,12,RUN,7,1.1,0.33,AVAILABLE,4,0.574456265,1.21,512,5,428,0.3305,0.335,0.578791845,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,1,RIFFLE,2,0.24,0.07,AVAILABLE,7,0.264575131,0.0576,2,2,1.025,0.0705,0.075,0.273861279,1.025,1.050625,2,1.025,,,,,,,,,
170,MF YUBA,39966,6,POOL,5,0.48,0.01,AVAILABLE,3,0.1,0.2304,192,4,160,0.0105,0.015,0.122474487,160,25600,5,160,,,,,,,,,
170,NFMF AMERICAN,39967,9,RUN,7,0.46,0.04,AVAILABLE,4,0.2,0.2116,512,5,428,0.0405,0.045,0.212132034,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,4,RIFFLE,4,0.02,0.01,AVAILABLE,7,0.1,0.0004,96,4,160,0.0105,0.015,0.122474487,160,25600,5,160,,,,,,,,,
170,NFMF AMERICAN,39967,6,RAPID,3,0.1,0.02,AVAILABLE,4,0.141421356,0.01,31,3,32,0.0205,0.025,0.158113883,32,1024,3,32,,,,,,,,,
170,MF FEATHER,39980,5,RUN,7,0.36,0.01,AVAILABLE,2,0.1,0.1296,512,5,428,0.0105,0.015,0.122474487,428,183184,6,428,,,,,,,,,
170,NFMF AMERICAN,39967,7,RAPID,7,0.8,1.12,AVAILABLE,4,1.058300524,0.64,512,5,428,1.1205,1.125,1.060660172,428,183184,6,428,,,,,,,,,
170,NFMF AMERICAN,39967,11,RUN,2,0.01,0,AVAILABLE,4,0,0.0001,2,2,1.025,0.0005,0.005,0.070710678,1.025,1.050625,2,1.025,,,,,,,,,
170,MF FEATHER,39980,1,RUN,7,0.29,0.53,AVAILABLE,2,0.728010989,0.0841,512,5,428,0.5305,0.535,0.731436942,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,1,RIFFLE,6,0.22,0.07,AVAILABLE,7,0.264575131,0.0484,334,5,428,0.0705,0.075,0.273861279,428,183184,6,428,,,,,,,,,
170,MF FEATHER,39980,5,RUN,6,0.02,0,AVAILABLE,2,0,0.0004,334,5,428,0.0005,0.005,0.070710678,428,183184,6,428,,,,,,,,,
170,NF AMERICAN,39974,6,RIFFLE,4,0.74,1.24,AVAILABLE,5,1.113552873,0.5476,96,4,160,1.2405,1.245,1.11579568,160,25600,5,160,,,,,,,,,
170,RUBICON,39962,5,RIFFLE,7,0.24,0.12,AVAILABLE,7,0.346410162,0.0576,512,5,428,0.1205,0.125,0.353553391,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,10,RUN,4,0.43,0.53,AVAILABLE,7,0.728010989,0.1849,96,4,160,0.5305,0.535,0.731436942,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,10,POOL,5,0.24,0.03,AVAILABLE,5,0.173205081,0.0576,192,4,160,0.0305,0.035,0.187082869,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,9,POOL,4,1.02,0.6,AVAILABLE,5,0.774596669,1.0404,96,4,160,0.6005,0.605,0.777817459,160,25600,5,160,,,,,,,,,
170,NFMF AMERICAN,39967,11,RUN,7,0.43,0.16,AVAILABLE,4,0.4,0.1849,512,5,428,0.1605,0.165,0.40620192,428,183184,6,428,,,,,,,,,
170,NFMF AMERICAN,39967,5,RUN,7,0.64,0.29,AVAILABLE,4,0.538516481,0.4096,512,5,428,0.2905,0.295,0.543139025,428,183184,6,428,,,,,,,,,
170,NF AMERICAN,39974,9,POOL,4,0.14,0,AVAILABLE,5,0,0.0196,96,4,160,0.0005,0.005,0.070710678,160,25600,5,160,,,,,,,,,
170,MF FEATHER,39980,10,RUN,7,0.73,0.78,AVAILABLE,2,0.883176087,0.5329,512,5,428,0.7805,0.785,0.886002257,428,183184,6,428,,,,,,,,,
170,NFMF AMERICAN,39967,3,RUN,7,0.62,1.26,AVAILABLE,4,1.122497216,0.3844,512,5,428,1.2605,1.265,1.124722188,428,183184,6,428,,,,,,,,,
170,NFMF AMERICAN,39967,12,RUN,4,0.7,0.21,AVAILABLE,4,0.458257569,0.49,96,4,160,0.2105,0.215,0.463680925,160,25600,5,160,,,,,,,,,
170,RUBICON,39962,6,POOL,5,0.68,0.19,AVAILABLE,7,0.435889894,0.4624,192,4,160,0.1905,0.195,0.441588043,160,25600,5,160,,,,,,,,,
170,RUBICON,39962,3,POOL,8,0.32,0.15,AVAILABLE,7,0.387298335,0.1024,600,6,800,0.1505,0.155,0.393700394,600,360000,4,294,,,,,,,,,
170,MF YUBA,39966,8,RAPID,6,0.14,0.15,AVAILABLE,3,0.387298335,0.0196,334,5,428,0.1505,0.155,0.393700394,428,183184,6,428,,,,,,,,,
170,MF FEATHER,39980,7,POOL,5,0.7,0.02,AVAILABLE,2,0.141421356,0.49,192,4,160,0.0205,0.025,0.158113883,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,3,RUN,2,0.42,0.24,AVAILABLE,5,0.489897949,0.1764,2,2,1.025,0.2405,0.245,0.494974747,1.025,1.050625,2,1.025,,,,,,,,,
170,MF YUBA,39966,10,POOL,4,0.38,0.05,AVAILABLE,3,0.223606798,0.1444,96,4,160,0.0505,0.055,0.234520788,160,25600,5,160,,,,,,,,,
170,MF FEATHER,39980,9,RAPID,8,0.08,0.17,AVAILABLE,2,0.412310563,0.0064,600,6,800,0.1705,0.175,0.418330013,600,360000,4,294,,,,,,,,,
170,MF YUBA,39966,5,POOL,5,0.68,0.31,AVAILABLE,3,0.556776436,0.4624,192,4,160,0.3105,0.315,0.561248608,160,25600,5,160,,,,,,,,,
170,RUBICON,39962,2,POOL,5,0.3,0.27,AVAILABLE,7,0.519615242,0.09,192,4,160,0.2705,0.275,0.524404424,160,25600,5,160,,,,,,,,,
170,NFMF AMERICAN,39967,10,RUN,6,0.08,0.25,AVAILABLE,4,0.5,0.0064,334,5,428,0.2505,0.255,0.504975247,428,183184,6,428,,,,,,,,,
170,MF FEATHER,39980,3,RIFFLE,7,0.38,0.01,AVAILABLE,2,0.1,0.1444,512,5,428,0.0105,0.015,0.122474487,428,183184,6,428,,,,,,,,,
170,MF YUBA,39966,5,POOL,7,0.86,0.37,AVAILABLE,3,0.608276253,0.7396,512,5,428,0.3705,0.375,0.612372436,428,183184,6,428,,,,,,,,,
170,NF AMERICAN,39974,10,POOL,5,1.02,0.65,AVAILABLE,5,0.806225775,1.0404,192,4,160,0.6505,0.655,0.809320703,160,25600,5,160,,,,,,,,,
170,MF FEATHER,39980,10,RUN,8,0.18,0.35,AVAILABLE,2,0.591607978,0.0324,600,6,800,0.3505,0.355,0.595818764,600,360000,4,294,,,,,,,,,
170,NF FEATHER,39966,7,RUN,6,0.72,0.15,AVAILABLE,6,0.387298335,0.5184,334,5,428,0.1505,0.155,0.393700394,428,183184,6,428,,,,,,,,,
170,NF FEATHER,39966,11,RUN,8,0.28,0,AVAILABLE,6,0,0.0784,600,6,800,0.0005,0.005,0.070710678,600,360000,4,294,,,,,,,,,
170,NF AMERICAN,39974,5,RIFFLE,7,0.34,0.44,AVAILABLE,5,0.663324958,0.1156,512,5,428,0.4405,0.445,0.667083203,428,183184,6,428,,,,,,,,,
170,MF FEATHER,39980,8,POOL,8,0.68,0.18,AVAILABLE,2,0.424264069,0.4624,600,6,800,0.1805,0.185,0.430116263,600,360000,4,294,,,,,,,,,
170,NFMF AMERICAN,39967,10,RUN,3,0.34,0.04,AVAILABLE,4,0.2,0.1156,31,3,32,0.0405,0.045,0.212132034,32,1024,3,32,,,,,,,,,
170,NF AMERICAN,39974,3,RUN,6,0.4,0.93,AVAILABLE,5,0.964365076,0.16,334,5,428,0.9305,0.935,0.96695398,428,183184,6,428,,,,,,,,,
170,NF FEATHER,39966,1,RUN,5,0.49,0.33,AVAILABLE,6,0.574456265,0.2401,192,4,160,0.3305,0.335,0.578791845,160,25600,5,160,,,,,,,,,
170,NF AMERICAN,39974,5,RIFFLE,5,0.1,0.37,AVAILABLE,5,0.608276253,0.01,192,4,160,0.3705,0.375,0.612372436,160,25600,5,160,,,,,,,,,
170,NF FEATHER,39966,3,RAPID,6,0.13,0.29,AVAILABLE,6,0.538516481,0.0169,334,5,428,0.2905,0.295,0.543139025,428,183184,6,428,,,,,,,,,
170,RUBICON,39962,2,POOL,5,0.18,0.02,AVAILABLE,7,0.141421356,0.0324,192,4,160,0.0205,0.025,0.158113883,160,25600,5,160,,,,,,,,,
170,MF YUBA,39966,2,CA3ADE,5,0.51,0.26,AVAILABLE,3,0.509901951,0.2601,192,4,160,0.2605,0.265,0.514781507,160,25600,5,160,,,,,,,,,
170,NF FEATHER,39966,9,RUN,7,0.2,0.23,AVAILABLE,6,0.479583152,0.04,512,5,428,0.2305,0.235,0.484767986,428,183184,6,428,,,,,,,,,
